neighbourhood;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm
Bilbao;Private room;37;2;289;45373;2.94;1;138;52
Donostia-San Sebastian;Entire home/apt;288;1;241;45027;2.47;1;0;1
Eskuernaga;Entire home/apt;225;2;10;44864;0.10;1;365;0
Laguardia;Entire home/apt;440;2;19;44892;0.20;1;331;0
Donostia-San Sebastian;Entire home/apt;227;3;36;45382;0.37;1;99;6
Bilbao;Entire home/apt;171;1;383;45373;3.91;1;159;56
Donostia-San Sebastian;Entire home/apt;190;2;212;45347;2.16;1;113;31
Bilbao;Private room;140;4;123;45173;1.27;2;136;8
Orio;Entire home/apt;150;2;151;45194;1.55;1;189;15
Getxo;Entire home/apt;142;2;47;45376;0.48;1;29;3
Mundaka;Entire home/apt;81;2;228;45338;2.37;1;32;32
Ibarrangelu;Private room;117;1;7;44774;0.09;6;176;0
Donostia-San Sebastian;Entire home/apt;144;2;82;45351;0.84;23;319;9
Ibarrangelu;Private room;158;1;0;;;6;142;0
Aia;Entire home/apt;150;2;184;45294;1.89;2;260;13
Eskoriatza;Private room;64;2;15;45156;0.17;1;358;3
Donostia-San Sebastian;Private room;85;1;330;45368;3.38;2;315;46
Mundaka;Entire home/apt;71;1;221;45375;2.27;1;76;27
Elburgo;Private room;75;1;8;44753;0.09;4;90;0
Zarautz;Entire home/apt;117;2;146;45377;1.51;1;255;19
Bernedo;Entire home/apt;506;2;105;45375;1.08;1;291;9
Donostia-San Sebastian;Entire home/apt;175;2;68;45243;0.71;1;329;19
Zarautz;Entire home/apt;140;2;134;45242;1.37;1;284;17
Donostia-San Sebastian;Entire home/apt;154;2;334;45381;3.42;1;203;59
Donostia-San Sebastian;Entire home/apt;268;2;61;43383;0.63;1;327;0
Donostia-San Sebastian;Entire home/apt;82;3;126;45292;1.29;1;175;23
Donostia-San Sebastian;Entire home/apt;233;2;93;45170;0.97;1;216;2
Donostia-San Sebastian;Entire home/apt;161;1;162;45367;1.66;14;343;8
Oiartzun;Shared room;25;2;40;45155;0.41;5;157;3
Hondarribia;Entire home/apt;1300;2;40;45128;0.43;1;345;5
Lasarte-Oria;Entire home/apt;252;2;33;45361;0.34;1;254;8
Laukiz;Private room;311;1;9;42945;0.09;2;89;0
Laukiz;Private room;400;2;4;43016;0.04;13;90;0
Labastida;Entire home/apt;500;2;4;45123;0.07;1;0;1
Vitoria-Gasteiz;Entire home/apt;90;2;214;45337;2.21;1;155;22
Bilbao;Entire home/apt;183;3;267;45376;2.76;2;248;30
Bilbao;Private room;18;90;6;43708;0.06;49;334;0
Ea;Private room;86;3;22;44769;0.23;4;17;0
Berango;Entire home/apt;152;2;129;45221;1.34;1;119;16
Kortezubi;Private room;85;3;54;45162;0.56;2;284;2
Mungai;Entire home/apt;85;2;138;45163;1.45;1;273;10
Bilbao;Private room;16;90;4;45138;0.06;49;273;1
Sopelana;Entire home/apt;138;4;17;44772;0.18;1;275;0
Bakio;Entire home/apt;50;1;282;45367;3.00;1;216;55
Kortezubi;Private room;80;3;47;45160;0.49;2;301;4
Dima;Entire home/apt;270;7;108;45381;1.13;1;150;6
Donostia-San Sebastian;Entire home/apt;157;2;92;45231;0.97;1;300;18
Donostia-San Sebastian;Entire home/apt;156;1;101;45345;1.05;14;330;6
Bilbao;Entire home/apt;92;2;269;45374;2.80;1;67;51
Vitoria-Gasteiz;Entire home/apt;174;20;2;45228;0.02;6;90;1
Donostia-San Sebastian;Private room;200;1;45;45159;0.48;1;59;9
Donostia-San Sebastian;Private room;50;1;21;43631;0.22;4;0;0
Donostia-San Sebastian;Shared room;50;1;112;45371;1.33;3;227;26
Sukarrieta;Entire home/apt;105;3;37;45360;0.39;1;51;2
Donostia-San Sebastian;Entire home/apt;177;1;187;45293;1.95;26;252;19
Zigoitia;Entire home/apt;313;2;84;45375;0.90;1;296;10
Donostia-San Sebastian;Entire home/apt;266;1;147;45372;1.53;26;213;19
Bilbao;Private room;50;2;264;45143;2.75;2;58;2
Irun;Entire home/apt;133;6;22;44800;0.23;1;251;0
Oiartzun;Private room;26;2;118;45211;1.24;6;155;17
Donostia-San Sebastian;Entire home/apt;436;2;42;45289;0.47;3;297;12
Donostia-San Sebastian;Entire home/apt;139;2;1;44733;0.05;3;21;0
Lapuebla de Labarca;Entire home/apt;179;1;57;45333;0.62;1;355;6
Hondarribia;Entire home/apt;118;2;45;45271;0.48;1;144;8
Mundaka;Entire home/apt;150;5;60;45268;0.64;2;231;2
Donostia-San Sebastian;Private room;74;2;190;45382;2.02;2;91;45
Donostia-San Sebastian;Entire home/apt;264;2;157;45374;1.69;1;231;58
Donostia-San Sebastian;Entire home/apt;177;3;5;45154;0.05;1;79;3
Bermeo;Entire home/apt;79;1;21;45244;0.62;9;187;14
Mundaka;Entire home/apt;75;1;12;45171;0.13;9;206;3
Donostia-San Sebastian;Private room;74;2;175;45382;1.87;2;99;39
Zizurkil;Entire home/apt;180;2;77;45293;0.82;1;322;12
Donostia-San Sebastian;Entire home/apt;138;2;85;45287;0.91;23;126;6
Elantxobe;Entire home/apt;65;5;62;45197;0.66;1;124;5
Donostia-San Sebastian;Entire home/apt;400;7;75;45178;0.79;1;79;14
Donostia-San Sebastian;Entire home/apt;250;2;1;42575;0.01;1;358;0
Bilbao;Entire home/apt;174;3;220;45372;2.31;2;280;33
Urnieta;Entire home/apt;67;2;449;45376;4.77;1;140;40
Donostia-San Sebastian;Entire home/apt;160;2;103;45319;1.15;17;83;19
Bakio;Entire home/apt;117;4;39;45157;0.41;1;303;7
Dima;Entire home/apt;350;2;27;45292;0.34;2;348;5
Donostia-San Sebastian;Private room;45;2;185;45376;1.96;1;235;63
Ispaster;Entire home/apt;221;3;164;45377;1.74;1;244;17
Donostia-San Sebastian;Entire home/apt;52;32;45;45199;0.48;3;238;2
Vitoria-Gasteiz;Entire home/apt;180;3;25;45169;0.27;3;54;9
Donostia-San Sebastian;Private room;76;2;196;45333;2.06;2;135;33
Elgoibar;Entire home/apt;140;2;17;45164;0.18;4;148;2
Bilbao;Private room;100;2;241;44481;2.54;1;66;0
Vitoria-Gasteiz;Private room;42;3;19;45161;0.21;6;26;2
Elgoibar;Private room;49;2;26;45162;0.28;4;85;5
Donostia-San Sebastian;Entire home/apt;300;31;0;;;1;233;0
Hondarribia;Entire home/apt;133;2;86;45369;0.91;2;273;17
Orio;Entire home/apt;150;1;10;44802;0.12;14;338;0
Donostia-San Sebastian;Private room;79;2;244;45380;2.61;5;334;2
Bilbao;Private room;17;30;8;44804;0.09;49;242;0
Zarautz;Entire home/apt;224;1;38;45161;0.41;16;213;2
Irun;Entire home/apt;90;5;54;45305;0.57;1;266;6
Zarautz;Private room;40;3;249;45378;2.63;2;300;26
Portugalete;Entire home/apt;90;2;35;45270;0.47;1;243;10
Durango;Entire home/apt;140;2;16;45292;0.19;1;193;4
Donostia-San Sebastian;Entire home/apt;127;3;194;45382;2.07;1;336;28
Asparrena;Private room;63;2;0;;;5;0;0
Asparrena;Private room;63;2;1;43337;0.01;5;0;0
Asparrena;Private room;63;2;0;;;5;0;0
Asparrena;Private room;68;2;1;43762;0.02;5;0;0
Ea;Entire home/apt;72;2;264;45378;2.83;2;109;27
Bilbao;Private room;60;1;124;45373;1.35;2;355;18
Donostia-San Sebastian;Entire home/apt;132;28;33;43628;0.35;15;121;0
Zumaia;Entire home/apt;85;2;138;45368;1.63;1;189;17
Donostia-San Sebastian;Entire home/apt;159;3;92;45293;1.11;1;273;11
Donostia-San Sebastian;Entire home/apt;360;2;169;45368;1.80;1;210;37
Barrika;Entire home/apt;380;4;3;45115;0.03;1;41;1
Iurreta;Entire home/apt;99;6;112;45362;1.19;2;155;10
Donostia-San Sebastian;Private room;79;1;367;45357;3.89;4;138;53
Irun;Entire home/apt;70;4;130;45348;1.38;1;76;17
Donostia-San Sebastian;Entire home/apt;145;4;129;45243;1.37;1;355;13
Bilbao;Hotel room;96;1;178;45375;1.98;6;354;58
Zumaia;Entire home/apt;81;2;58;45242;0.62;1;289;11
Vitoria-Gasteiz;Entire home/apt;125;2;29;45362;0.33;2;70;16
Donostia-San Sebastian;Private room;69;2;251;45005;2.69;5;342;0
Donostia-San Sebastian;Private room;69;2;295;45380;3.16;5;338;6
Donostia-San Sebastian;Private room;69;2;279;45377;2.99;5;334;3
Hondarribia;Entire home/apt;190;1;20;44878;0.21;27;168;0
Donostia-San Sebastian;Entire home/apt;100;2;138;45199;1.47;1;44;16
Amezketa;Entire home/apt;144;2;99;45340;1.05;1;219;9
Bilbao;Private room;72;2;295;45350;3.14;4;61;35
Bilbao;Private room;62;2;180;45242;1.91;4;15;13
Bilbao;Private room;50;2;267;45347;2.84;4;48;34
Elburgo;Private room;73;1;2;43688;0.03;4;87;0
Donostia-San Sebastian;Entire home/apt;160;14;4;45159;0.12;1;50;1
Bilbao;Entire home/apt;50;28;125;43798;1.33;1;263;0
Bilbao;Private room;70;1;133;45380;1.42;2;346;21
Hondarribia;Entire home/apt;109;1;66;45370;0.71;3;153;10
Vitoria-Gasteiz;Entire home/apt;108;2;230;45344;2.46;1;303;29
Bilbao;Entire home/apt;1000;2;64;45166;0.69;3;56;7
Donostia-San Sebastian;Entire home/apt;237;1;186;45354;1.99;1;330;27
Hondarribia;Entire home/apt;112;2;152;45381;1.63;1;224;16
Donostia-San Sebastian;Private room;82;1;345;45269;3.68;4;161;44
Donostia-San Sebastian;Private room;82;1;367;45347;3.90;4;147;50
Bilbao;Entire home/apt;107;2;176;45233;1.88;2;156;20
Vitoria-Gasteiz;Private room;100;1;5;45166;0.07;4;133;1
Zarautz;Private room;40;3;217;45380;2.31;2;309;27
Mutriku;Entire home/apt;270;5;4;44777;0.05;2;151;0
Donostia-San Sebastian;Entire home/apt;410;4;23;45159;0.25;1;43;3
Bilbao;Entire home/apt;137;1;591;45375;6.31;1;81;96
Donostia-San Sebastian;Entire home/apt;239;2;113;45292;1.22;17;89;11
Eskuernaga;Entire home/apt;250;2;8;45150;0.11;1;361;3
Hondarribia;Entire home/apt;168;1;14;44758;0.15;27;150;0
Ribera Alta;Entire home/apt;160;2;19;45269;0.20;2;312;2
Sopuerta;Private room;40;2;12;44803;0.14;1;365;0
Bilbao;Private room;49;2;323;45379;3.46;1;11;52
Ribera Alta;Entire home/apt;135;2;13;45157;0.14;2;317;1
Bilbao;Entire home/apt;1000;2;75;45156;0.81;3;56;3
Donostia-San Sebastian;Entire home/apt;139;2;201;45354;2.15;1;203;40
Bilbao;Private room;42;3;106;45382;1.13;1;46;61
Vitoria-Gasteiz;Entire home/apt;111;1;246;45381;2.63;1;108;31
Aia;Entire home/apt;100;6;0;;;1;335;0
Donostia-San Sebastian;Entire home/apt;250;2;17;44743;0.18;1;94;0
Donostia-San Sebastian;Entire home/apt;401;2;337;45368;3.67;2;212;48
Donostia-San Sebastian;Entire home/apt;186;2;50;45360;0.54;1;169;25
Gautegiz Arteaga;Hotel room;92;2;0;;;9;103;0
Gautegiz Arteaga;Entire home/apt;126;4;0;;;9;73;0
Donostia-San Sebastian;Private room;81;1;351;45347;3.76;4;181;47
Zarautz;Entire home/apt;83;2;71;45270;0.77;1;92;5
Donostia-San Sebastian;Entire home/apt;150;1;44;45049;0.47;31;184;1
AbadiÒo;Entire home/apt;102;5;125;45292;1.34;1;257;11
Bilbao;Private room;63;1;540;45380;5.80;2;177;93
Karrantza Harana;Private room;119;1;0;;;7;267;0
Karrantza Harana;Private room;131;1;0;;;7;261;0
Karrantza Harana;Private room;131;5;1;42605;0.01;7;264;0
Karrantza Harana;Private room;131;1;0;;;7;313;0
Karrantza Harana;Private room;104;1;0;;;7;317;0
Karrantza Harana;Private room;119;1;1;42606;0.01;7;267;0
Karrantza Harana;Private room;104;1;1;44766;0.05;7;268;0
Hondarribia;Entire home/apt;629;3;7;44774;0.09;1;314;0
Donostia-San Sebastian;Entire home/apt;145;2;31;45381;0.33;1;163;16
Bilbao;Entire home/apt;141;2;18;45078;0.19;1;215;1
Donostia-San Sebastian;Private room;95;2;110;45242;1.18;3;89;18
Getxo;Entire home/apt;179;1;72;45214;0.78;1;11;9
Hernani;Entire home/apt;50;2;128;43773;1.38;1;2;0
Donostia-San Sebastian;Entire home/apt;114;2;108;45333;1.28;1;299;20
Lekeitio;Entire home/apt;130;2;110;45293;1.19;1;244;11
Arrasate;Private room;30;1;335;45380;3.61;1;0;46
Donostia-San Sebastian;Entire home/apt;171;2;116;45243;1.25;1;108;15
Donostia-San Sebastian;Private room;95;2;109;45159;1.18;3;89;11
Bilbao;Entire home/apt;67;2;1;42628;0.01;1;0;0
Mutriku;Entire home/apt;100;3;14;44393;0.20;1;28;0
Sondika;Entire home/apt;820;2;18;45293;0.24;8;356;4
Donostia-San Sebastian;Entire home/apt;127;1;526;45377;5.74;3;88;102
Donostia-San Sebastian;Entire home/apt;718;2;45;45292;0.49;1;302;6
Donostia-San Sebastian;Entire home/apt;868;3;41;45163;0.45;4;269;3
Otxandio;Entire home/apt;85;2;21;45310;0.23;1;31;2
Donostia-San Sebastian;Entire home/apt;250;3;123;45197;1.44;1;67;12
Plentzia;Entire home/apt;86;2;86;45267;0.93;1;56;11
Karrantza Harana;Entire home/apt;317;2;21;45214;0.29;1;144;4
Irun;Entire home/apt;133;1;173;45381;1.91;1;14;35
Donostia-San Sebastian;Entire home/apt;250;1;16;43651;0.17;4;333;0
Bilbao;Entire home/apt;82;2;155;45367;1.68;1;262;16
Donostia-San Sebastian;Entire home/apt;356;2;99;45293;1.10;1;279;26
Gorliz;Entire home/apt;90;3;12;44669;0.21;1;71;0
Bilbao;Private room;250;1;1;43009;0.01;23;89;0
Donostia-San Sebastian;Entire home/apt;100;4;29;43330;0.32;1;56;0
Donostia-San Sebastian;Entire home/apt;179;4;52;45242;0.64;1;168;14
Donostia-San Sebastian;Entire home/apt;322;1;136;44400;1.49;14;248;0
Bermeo;Entire home/apt;77;1;5;45375;1.61;1;217;5
Donostia-San Sebastian;Entire home/apt;218;1;99;45368;1.08;12;143;16
Getxo;Private room;73;2;40;45373;0.49;2;251;8
Bermeo;Entire home/apt;115;3;91;45214;1.00;2;328;10
Bilbao;Entire home/apt;93;2;343;45362;3.74;1;44;40
Donostia-San Sebastian;Private room;110;2;99;45242;1.10;3;89;20
Bakio;Entire home/apt;141;2;111;45070;1.22;5;162;5
Arraia-Maeztu;Entire home/apt;204;2;51;45292;0.59;1;310;9
Vitoria-Gasteiz;Entire home/apt;73;2;133;45375;1.46;2;147;16
Donostia-San Sebastian;Private room;28;30;23;45275;0.26;1;193;5
Donostia-San Sebastian;Entire home/apt;180;2;30;45129;0.35;1;324;1
Donostia-San Sebastian;Entire home/apt;136;4;76;45295;0.84;1;135;15
Donostia-San Sebastian;Entire home/apt;237;2;240;45337;2.67;1;19;16
Azpeitia;Private room;80;2;42;45332;0.46;6;332;2
Donostia-San Sebastian;Entire home/apt;250;1;30;45104;0.36;87;257;2
OÒati;Entire home/apt;180;1;56;45268;0.75;2;277;15
Zarautz;Entire home/apt;221;2;106;45305;1.24;1;220;22
Ayala;Private room;125;1;71;45361;0.84;3;177;11
Donostia-San Sebastian;Entire home/apt;280;1;70;45368;0.80;24;132;11
Donostia-San Sebastian;Entire home/apt;386;1;125;45292;1.40;24;80;25
Donostia-San Sebastian;Entire home/apt;286;1;60;45354;0.70;24;143;14
Donostia-San Sebastian;Entire home/apt;356;1;113;45347;1.25;24;74;21
Lanciego;Entire home/apt;261;2;90;45375;0.99;1;342;9
Donostia-San Sebastian;Entire home/apt;249;1;51;45293;0.56;24;219;16
Donostia-San Sebastian;Entire home/apt;373;1;53;45135;0.75;24;126;10
Plentzia;Entire home/apt;79;2;148;45360;1.63;1;81;25
Lanciego;Private room;40;1;7;45020;0.22;2;356;1
Donostia-San Sebastian;Entire home/apt;114;2;315;45377;3.66;3;194;44
Ayala;Private room;100;1;64;45154;0.71;3;177;6
Lanciego;Shared room;40;1;1;44489;0.03;2;356;0
Zarautz;Entire home/apt;117;1;15;45115;0.17;1;338;1
OÒati;Entire home/apt;150;1;4;45379;0.06;2;319;2
Ispaster;Entire home/apt;77;2;269;45379;3.02;4;207;25
Donostia-San Sebastian;Entire home/apt;160;2;228;45270;2.67;1;175;36
Lekeitio;Entire home/apt;74;2;135;45359;1.50;1;35;14
Donostia-San Sebastian;Entire home/apt;251;2;233;45382;2.58;1;244;34
Berango;Entire home/apt;579;2;68;45293;0.89;1;275;11
Mallabia;Entire home/apt;220;4;20;45164;0.24;1;304;2
MaÒaria;Private room;55;2;124;45175;1.38;2;89;16
Zarautz;Entire home/apt;94;2;292;45334;3.37;1;206;26
Donostia-San Sebastian;Entire home/apt;141;1;90;45223;1.03;39;327;7
Hondarribia;Entire home/apt;284;1;20;44799;0.24;39;164;0
Hondarribia;Entire home/apt;250;5;21;45134;0.26;1;111;5
Donostia-San Sebastian;Entire home/apt;104;2;132;45381;1.59;1;20;20
Zarautz;Entire home/apt;139;1;26;45305;0.29;2;157;2
Donostia-San Sebastian;Entire home/apt;288;2;121;45292;1.36;16;59;20
Bilbao;Shared room;21;1;48;45317;0.57;5;322;22
Donostia-San Sebastian;Private room;76;1;121;45346;1.35;4;242;23
Donostia-San Sebastian;Entire home/apt;378;2;124;45216;1.40;4;230;12
Donostia-San Sebastian;Entire home/apt;210;2;95;45173;1.16;1;160;11
Zumaia;Entire home/apt;148;2;34;45216;0.39;1;99;1
Zarautz;Entire home/apt;147;1;39;45353;0.44;2;172;8
Donostia-San Sebastian;Entire home/apt;957;3;44;45256;0.50;4;242;7
Ispaster;Entire home/apt;86;2;104;45359;1.23;1;230;47
Bilbao;Private room;47;3;64;45368;0.73;2;96;37
Donostia-San Sebastian;Entire home/apt;200;3;39;45181;0.44;1;55;18
Eibar;Entire home/apt;150;2;58;45274;0.69;1;91;10
Bilbao;Private room;41;1;439;45380;5.18;2;202;103
Donostia-San Sebastian;Private room;76;1;150;45176;1.70;4;264;1
Bilbao;Private room;53;1;145;45373;1.63;1;44;17
Sopelana;Private room;46;1;458;45374;5.40;1;72;77
Donostia-San Sebastian;Entire home/apt;85;32;77;43385;0.91;1;114;0
Donostia-San Sebastian;Entire home/apt;186;2;136;45368;1.54;1;26;32
Donostia-San Sebastian;Entire home/apt;151;2;393;45381;4.56;1;223;55
Bilbao;Private room;71;1;278;45374;3.15;2;89;35
Donostia-San Sebastian;Entire home/apt;166;2;23;45172;0.26;1;185;1
Pasaia;Entire home/apt;159;2;18;45165;0.21;2;267;3
Bilbao;Private room;30;3;108;45215;1.24;3;87;3
Zumaia;Entire home/apt;180;3;69;45179;0.81;2;303;9
Zarautz;Entire home/apt;130;2;101;45207;1.19;1;55;15
Donostia-San Sebastian;Entire home/apt;248;2;221;45379;2.64;6;79;55
Getxo;Entire home/apt;90;2;118;44928;1.39;1;30;0
Donostia-San Sebastian;Entire home/apt;300;14;7;44786;0.09;12;31;0
Zarautz;Entire home/apt;110;2;38;44781;0.44;14;98;0
Mundaka;Entire home/apt;94;1;43;44671;0.51;2;236;0
Bilbao;Private room;30;3;142;45219;1.63;3;86;2
Donostia-San Sebastian;Entire home/apt;81;2;101;45379;1.18;1;137;31
Bilbao;Private room;30;2;172;44865;1.99;3;86;0
Hondarribia;Entire home/apt;133;2;95;45375;1.15;2;267;22
Donostia-San Sebastian;Entire home/apt;260;31;1;42901;0.01;7;364;0
Arrazua-Ubarrundia;Entire home/apt;154;7;72;45214;0.83;1;176;16
Bilbao;Entire home/apt;175;2;232;45214;2.76;1;289;14
Donostia-San Sebastian;Entire home/apt;149;1;70;45294;0.82;39;282;1
Getxo;Private room;45;2;287;45382;3.33;1;14;59
Lekeitio;Entire home/apt;130;3;34;45131;0.40;1;218;1
Zarautz;Entire home/apt;106;2;35;45378;0.41;1;103;3
Samaniego;Entire home/apt;597;2;11;45286;0.18;8;319;4
Gorliz;Entire home/apt;110;2;151;45373;1.75;1;253;11
Samaniego;Private room;75;1;5;45318;0.06;8;336;2
Mutriku;Entire home/apt;220;3;65;45294;0.77;1;247;10
Bilbao;Entire home/apt;137;3;73;45350;0.85;1;20;13
Samaniego;Private room;87;1;1;45136;0.12;8;352;1
Zarautz;Entire home/apt;229;3;125;45378;1.47;1;85;24
Donostia-San Sebastian;Entire home/apt;110;30;13;43103;0.16;1;287;0
Donostia-San Sebastian;Entire home/apt;252;2;288;45312;3.39;6;211;34
Donostia-San Sebastian;Entire home/apt;119;2;334;45373;4.11;1;111;49
Donostia-San Sebastian;Entire home/apt;252;2;301;45369;3.51;6;232;46
Mundaka;Entire home/apt;151;2;14;45268;0.16;1;351;2
Alonsotegi;Private room;95;1;104;45381;1.23;4;355;17
Gorliz;Entire home/apt;180;2;35;45270;0.41;1;54;2
Hondarribia;Private room;130;2;84;45347;0.99;1;63;10
Lekeitio;Entire home/apt;71;2;68;45194;0.79;1;259;12
Getxo;Entire home/apt;102;2;69;45376;0.81;1;88;3
Berriatua;Entire home/apt;85;2;75;45295;0.88;1;281;6
Gatika;Entire home/apt;814;4;23;45149;0.27;1;259;2
Laguardia;Entire home/apt;307;2;12;45220;0.14;8;324;4
Oiartzun;Entire home/apt;150;2;169;45214;1.97;1;96;26
Donostia-San Sebastian;Entire home/apt;200;5;75;45170;0.92;1;60;9
Vitoria-Gasteiz;Entire home/apt;136;2;102;45256;1.19;1;134;13
Hondarribia;Entire home/apt;141;2;23;45152;0.29;19;133;8
Donostia-San Sebastian;Entire home/apt;437;1;86;45376;1.01;24;112;16
Hondarribia;Entire home/apt;80;2;160;45381;1.94;1;111;10
Getxo;Entire home/apt;111;2;94;45357;1.10;1;68;10
Laukiz;Private room;200;2;2;42856;0.02;13;89;0
Asparrena;Private room;50;1;64;45319;0.75;1;357;12
Laukiz;Private room;197;1;3;42969;0.04;13;90;0
Bilbao;Private room;150;2;30;43296;0.35;1;175;0
Zarautz;Entire home/apt;100;2;41;45261;0.48;2;85;6
Bilbao;Entire home/apt;484;2;75;45340;0.88;1;263;10
Bakio;Private room;76;1;74;45128;0.87;3;213;3
Vitoria-Gasteiz;Entire home/apt;101;4;26;45270;0.37;1;78;11
Astigarraga;Private room;300;3;69;43408;0.81;1;87;0
Zarautz;Entire home/apt;166;1;44;45382;0.52;16;269;6
Getaria;Entire home/apt;221;2;175;45206;2.06;1;332;16
Bilbao;Entire home/apt;117;3;52;45269;0.61;1;43;19
Mallabia;Entire home/apt;107;2;44;45263;0.54;1;165;2
Zeanuri;Private room;80;2;55;45193;0.67;1;150;7
Busturia;Entire home/apt;200;2;59;45189;0.70;1;319;9
Bilbao;Private room;43;1;178;45372;2.10;2;37;24
Vitoria-Gasteiz;Private room;27;2;30;45344;0.43;1;359;5
Bilbao;Private room;40;1;448;45368;5.28;2;6;25
Bakio;Private room;66;1;41;45212;0.49;3;221;2
Bakio;Private room;86;1;17;45268;0.20;3;187;1
Lekeitio;Entire home/apt;141;2;77;45145;0.91;2;91;1
Donostia-San Sebastian;Entire home/apt;135;2;376;45367;4.44;2;123;65
Donostia-San Sebastian;Entire home/apt;150;2;81;45292;0.96;1;60;20
Bermeo;Entire home/apt;130;2;90;44822;1.08;1;235;0
Ea;Entire home/apt;116;3;14;45214;0.17;2;256;6
Oiartzun;Private room;21;2;118;45348;1.45;6;80;24
Donostia-San Sebastian;Entire home/apt;120;2;177;45373;2.17;1;138;26
Donostia-San Sebastian;Entire home/apt;134;7;79;45295;0.93;1;37;9
Donostia-San Sebastian;Entire home/apt;115;2;211;45242;2.49;4;116;24
Bilbao;Private room;47;1;506;45369;5.96;2;7;8
Zarautz;Entire home/apt;120;3;86;45206;1.01;2;122;5
Donostia-San Sebastian;Entire home/apt;143;1;110;45350;1.30;14;356;9
San Millan;Entire home/apt;375;2;15;45172;0.28;3;330;4
San Millan;Entire home/apt;130;2;22;45356;0.27;3;303;4
San Millan;Entire home/apt;130;2;22;45180;0.27;3;0;4
Bilbao;Entire home/apt;103;2;187;45375;2.20;2;291;25
Bilbao;Entire home/apt;258;2;301;45368;3.62;21;169;49
Vitoria-Gasteiz;Private room;64;1;14;45043;0.17;6;89;1
Zumaia;Entire home/apt;150;2;68;45152;0.80;1;145;6
Hondarribia;Entire home/apt;101;2;96;45297;1.17;1;142;13
Donostia-San Sebastian;Entire home/apt;136;4;86;45277;1.01;1;104;4
Donostia-San Sebastian;Entire home/apt;233;2;210;45292;2.52;1;205;38
Sondika;Private room;233;2;11;43697;0.13;8;364;0
Bilbao;Entire home/apt;343;1;22;44866;0.26;6;154;0
Bilbao;Private room;45;2;214;45175;2.54;2;58;7
Altzo;Entire home/apt;160;2;97;45292;1.19;1;170;16
Vitoria-Gasteiz;Entire home/apt;100;2;36;45165;0.43;1;15;10
Getxo;Entire home/apt;92;2;173;45292;2.05;7;63;30
Beasain;Entire home/apt;160;2;48;45269;0.67;1;321;17
Mutriku;Private room;150;2;15;44797;0.18;2;184;0
Bilbao;Entire home/apt;102;31;40;45328;0.48;1;238;3
Barakaldo;Entire home/apt;116;3;161;45199;1.92;1;98;4
Ibarrangelu;Entire home/apt;120;4;17;44780;0.22;1;274;0
Ibarrangelu;Entire home/apt;393;1;42;45325;0.59;2;226;5
Hondarribia;Entire home/apt;174;1;32;45208;0.39;27;134;5
Mundaka;Entire home/apt;140;2;28;45174;0.34;1;356;5
Vitoria-Gasteiz;Entire home/apt;180;3;12;45166;0.15;3;48;6
Mundaka;Entire home/apt;183;2;31;45032;0.37;4;321;2
Abaltzisketa;Entire home/apt;100;5;6;44713;0.07;2;255;0
Bilbao;Entire home/apt;95;2;271;45367;3.27;1;257;39
Donostia-San Sebastian;Entire home/apt;135;1;87;45357;1.04;87;199;19
Vitoria-Gasteiz;Private room;68;2;137;45295;1.63;1;87;9
Donostia-San Sebastian;Hotel room;163;1;83;45375;0.99;87;158;13
Zierbena;Entire home/apt;140;1;86;45347;1.17;1;147;5
Bermeo;Entire home/apt;62;3;61;45213;0.73;1;338;2
